address,allocation
0x4209d7fe83d729aa6de8fe60801554cd1c5ec4ba,"2,284.81"
0xca4085ca1c6c87e370864a0db0f8924c94bfac27,"2,361.67"
0x083c23237828e79d83d20011f06818a986d9aab4,"2,276.80"
0xd7caf84b5aacf7467ae73c754d83132d6e770b43,"2,100"
0x240d25294b65c130dfdc6f932158cef32ec1e9bf,"2,266.10"
0x4fbefdef2427d581a94cc07b076c2ac026ef56fd,"2,058.60"
0xac901e4b8fb3d0cc3076f4767dbe6d4b9daeeb43,"2,037.66"
0x98af038ece17851593570f53e21cb03fee909679,"2,010.37"
0xbe1840e5329e481d63d7aad3ac5338741b6eb47a,"2,185.89"
0xb9288023bcfdfa213f15d7efd1ac979a7cae1cd8,"2,003"
0x333881ae7ef24927254757be89e7097a2c6f3b99,"2,000"
0xa9dabdbfa778d0fcf728c259a8845bb029d448a9,"2,000"
0x26c908543838718dc89868e9dee230517fbfdbbc,"2,000"
0x867e31906afb12d85851a3c9fca70837ed0b0c50,"2,000"
0xaac03cb5ddc4296445311c60da00e74c443d33ba,"2,000"
0xd437769b39aba3f00225544557f8969ace4a4729,"1,990.12"
0x8d885de07657955791f85b4051d344f17a3c9b04,"1,981.26"
0x2ef45d8325c86aaf28efaec03b8438fa07908a63,"1,976.06"
0x3f20eb84a1dafc64526f6dd23e62f5fb8bf41cef,"1,964.80"
0xff5e04199df4c018f65eb231eb29298a165da05b,"1,947.68"
0x1eb74a0eb8829556ea45d76e4ff83738f3b87d47,"1,900"
0xada06cf79cfee602300782c61f88dce0abd48c59,"2,072.56"
0xbb36cfb247194056fd3b494c3f42673cdfd53f0b,"1,880.88"
0xb133a6cbe356664e05473cffd98b368acf731c98,"2,388.73"
0xcc439dec018463c3dbe742a8c41674883f327f85,"1,836.43"
0x5ac7e3aa957fd95a5b67af3c637ff06c811939c2,"1,835"
0x8e34a7e50b9e4fa03a57b8730d5e5274c9f6f729,"1,815.84"
0xd467b858d5a57a9ffa0f2cf7f5961c8d783ed80c,"1,806.65"
0x108965bcb91ce58679f8b9fe61eed4121c39b643,"1,800"
0x682287e344fec89772607ed0fcd837421c4d1247,"1,800"
0xf613b1f56b18a580f6853e563d333610801f52ae,"1,800"
0xe91e2accad18a6d773972d184322ba31f359331d,"1,800"
0x16adad35b6ba3166ad1b2950125df2bb1de8c62a,"2,151.06"
0x19474a1e90a915e824e8ca5b826f783adcfc61b6,"1,774.63"
0x55ec06d1c36036ae69dc11c52cd73939db334aee,"2,067.00"
0xdf057c2f9402b1905412df48892304c441d2de65,"1,702.50"
0xdc6fdb229744a5ad236d8e08975b197bfd0abadb,"1,686.65"
0xc1dbbc6af09505015e5510118db92f5d42313746,"1,646.97"
0xee36b2df592611c4175cdf0940db6a06a8ebab84,"1,638"
0xfe6c2447bf27e6b10107433799636230ead723a0,"1,783.00"
0xc150198c6f8cd4fc01840a9bcf54d686a44c6177,"1,557.82"
0xbedb7059937d6e9562b68a8b40fb3012d4b1e0a0,"1,587.16"
0x2bcb7d8de3c547052bf6bf91f355ed0819e4ed7b,"3,433.98"
0x890202b136ffcbbf2afcf20281ce119302dd5817,"1,527.16"
0xf69e9eb92f90878951a1045af27c7d87dd699b75,"1,700.60"
0x8ab60c037f4ffbfac016107dcb0aff2283bc1fba,"1,522.43"
0x6a6386030622a878da13d05f0ed6c4104a49086f,"1,512"
0x87677a233edc5b0cc1dd10a0108385456b48e50a,"1,512"
0xab9f3804bd8c3f538a7b2eeaa2d72ac517b91b6f,"1,500"
0xa0dd92cf7c962d52c300ce0882c072debeab0bb6,"1,500"
0xc49ed22ceea433565c87b71a1fa53bccf2defc89,"1,500"
0x9610743e7858ae4dca6de8e0dc5cbb66e792add5,"1,500"
0xed44180ee1b3e87f0772335828010cffb69614c3,"1,500"
0x69f298492b268a7de631e672917bb8b87b039089,"1,500"
0x366523eaa42ee0af34e2078961aa80d01e89eca8,"1,500"
0x736282d2efe0282c4106c05493dbe7e33e44265a,"1,500"
0xf7a2397e5a15d41ec08ad71997c9083ad42bb4ba,"1,500"
0x9b7d903403b5393dfe511fe434ab69c8b79d154c,"1,500"
0x0fd1163420aa83d547ea96aa72d953b70006143b,"1,500"
0x4132cb09fb9169606df026ecdc6f4b8425f60400,"1,500"
0x457d6f7aa775410401cba333ae676375b327bb06,"1,500"
0xe346ad5e5220f76f3a7da38c2253799c646c4dbb,"1,500"
0x61f2a9d251d0ba4445cb842c360daf5a08340bb3,"1,493.54"
0x4ef7716638f1f9359f9e0affb93d994be448cbdb,"1,482.16"
0xb941d414d4e3fe99402ca9c21e6fdecf40809188,"1,458.42"
0x2ae9188685453d711052af1b9e71e65970d0580b,"1,448"
0x4b3531b823d845f27452e5aff9baf8ee1f2b4029,"1,796.55"
0x24d09fff1ae28e042dce4cad6a6264dba3b1ae40,"1,420.40"
0x9e5afa5705199bc17c5364ac298509733037f6a7,"1,419.08"
0x8a86597d52177282445efc906d21b4500f5ad3b3,"1,400"
0x8783b0d4345f7946203527ebbc3ff859aa3cb172,"1,546.00"
0x90198fe54d949b541dac46fb64f0694f9ba41079,"1,330"
0xd8c0ca4dc7811f05274797fba937264ce81f7584,"1,329.29"
0x140b7f047e044b8441abd3a8cafbbdec8e5faa67,"1,302.92"
0xb5d62eb3ef09c2dd1b74e673712adb4c08444279,"1,300"
0xcbe14d4bc5f344ac44edad917900fbf09e4c5302,"1,286.90"
0x493086da72f28d9e1c5aa8c0620f5669874b6ef5,"1,281.19"
0xafb032214d58d04c5aa77452d142d91b20608b51,"1,265.02"
0xa387e643c016dc1e12f764915cefbb727e7141f1,"1,429.40"
0xaa75e5514e400f815ee451fcaf45cf82456f4740,"1,250"
0xc68ac02fd20017fcacf132ca687ca15cb4cac80a,"1,249.43"
0x6067fbb8bb07d9422ea4eb30f717be57385fa98e,"1,237.34"
0x42783aaaf8b1b9e3e786fb101d8c791b4926760d,"1,411.44"
0x3e12a69c9b133e4cd3e44ded3c044618b4d34f58,"1,218.90"
0x12ca70857a9d0f36275fba541ef81e27efe161ea,"1,212"
0x8cd39f5933db5b0b641497cdc456680c50513994,"1,200"
0xf547b236fa92ea989e7cbfabb9dd2ecde752b839,"1,200"
0x7a06e7610fa56d5173e10db08b7e6728a1869628,"1,200"
0x924ad0c6dd801a3ae130213225ddb4deb9bf9109,"1,200"
0x1b4488c36775271f6f723b5cde91a4e7df6143a4,"1,200"
0x42bab224c4a336891f2c9fc2891237709a418a23,"1,200"
0x781ce9fc22738d810f84fd5588def90f25224a5b,"1,200"
